base64_number,decimal_number,binary_length,1 count,0 count,Ratio 1/0
AQ==,1,1,1,0,
Aw==,3,2,2,0,
BQ==,5,3,2,1,2.0
Ow==,59,6,5,1,5.0
AzU=,245,8,6,2,3.0
Jjs=,2491,12,8,4,2.0
ORs1,235253,18,12,6,2.0
BycWJjs=,127756731,27,18,9,2.0
BDM3FjkbNQ==,330567489269,39,25,14,1.7857142857142858
DhYTHjo3JxYmOw==,258479716298484155,58,37,21,1.7619047619047619
